"","region_id","household_prop","residence","country"
"1",1,0,"Rural","DRC"
"2",1,1,"Urban","DRC"
"3",2,0.812584158771346,"Rural","DRC"
"4",2,0.187415841228654,"Urban","DRC"
"5",3,0.752834620816247,"Rural","DRC"
"6",3,0.247165379183753,"Urban","DRC"
"7",4,0.837702349792034,"Rural","DRC"
"8",4,0.162297650207966,"Urban","DRC"
"9",5,0.693610467286069,"Rural","DRC"
"10",5,0.306389532713931,"Urban","DRC"
"11",6,0.624826050530189,"Rural","DRC"
"12",6,0.375173949469811,"Urban","DRC"
"13",7,0.589302213728171,"Rural","DRC"
"14",7,0.410697786271829,"Urban","DRC"
"15",8,0.700778013600555,"Rural","DRC"
"16",8,0.299221986399445,"Urban","DRC"
"17",9,0.624691356088716,"Rural","DRC"
"18",9,0.375308643911284,"Urban","DRC"
"19",10,0.837517818544494,"Rural","DRC"
"20",10,0.162482181455506,"Urban","DRC"
"21",11,0.885135154076901,"Rural","DRC"
"22",11,0.114864845923099,"Urban","DRC"
